성별,교급별,학년별,권역별,용돈,가중치,평생 도박 경험,지난 6개월 간 도박 지속 여부,지난 6개월 간 가장 많이 한 도박 유형,지난 6개월 간 가장 많이 한 도박 빈도,지난 6개월 간 도박을 통한 손익 여부,도박으로 인한 폐해_일상생활 문제,주변친구의 도박 행위 목격 및 청취 경험 여부,학교 내 도박문제 예방교육 경험 여부,청소년 도박문제 예방교육 필요성
2,1,1,1,1,888.89,2,99,99,99,99,99,2,1,4
2,1,1,1,1,888.89,2,99,99,99,99,99,2,1,3
1,1,1,1,2,801.48,2,99,99,99,99,99,2,1,3
2,1,1,1,3,888.89,2,99,99,99,99,99,2,1,3
1,1,1,1,2,801.48,2,99,99,99,99,99,1,1,4
1,1,1,1,2,801.48,2,99,99,99,99,99,2,1,4
1,1,1,1,1,801.48,2,99,99,99,99,99,2,2,4
2,1,1,1,1,888.89,2,99,99,99,99,99,2,1,3
2,1,1,1,1,888.89,1,2,99,99,99,99,2,1,3
1,1,1,1,2,801.48,2,99,99,99,99,99,2,1,2
1,1,1,1,2,801.48,2,99,99,99,99,99,2,1,4
1,1,1,1,2,801.48,2,99,99,99,99,99,2,1,4
1,1,1,1,1,801.48,2,99,99,99,99,99,2,1,4
2,1,1,1,2,888.89,2,99,99,99,99,99,2,1,3
2,1,2,1,1,675.21,2,99,99,99,99,99,2,1,3
1,1,2,1,3,602.72,1,2,99,99,99,99,2,2,3
1,1,2,1,2,602.72,2,99,99,99,99,99,2,1,3
1,1,2,1,2,602.72,2,99,99,99,99,99,2,1,4
2,1,2,1,2,675.21,2,99,99,99,99,99,2,1,2
2,1,2,1,2,675.21,2,99,99,99,99,99,2,1,3
1,1,2,1,4,602.72,2,99,99,99,99,99,1,1,3
1,1,2,1,1,602.72,2,99,99,99,99,99,2,1,3
2,1,2,1,6,675.21,2,99,99,99,99,99,2,2,3
2,1,2,1,2,675.21,2,99,99,99,99,99,1,1,2
2,1,2,1,2,675.21,2,99,99,99,99,99,2,1,3
2,1,2,1,2,675.21,2,99,99,99,99,99,2,2,2
1,1,2,1,1,602.72,2,99,99,99,99,99,2,2,2
2,1,2,1,1,675.21,2,99,99,99,99,99,1,1,3
1,1,2,1,1,602.72,2,99,99,99,99,99,2,1,3
1,1,2,1,1,602.72,2,99,99,99,99,99,2,2,4
1,1,2,1,2,602.72,2,99,99,99,99,99,2,1,3
1,1,2,1,2,602.72,2,99,99,99,99,99,2,2,2
1,1,2,1,2,602.72,2,99,99,99,99,99,2,2,3
2,1,2,1,1,675.21,2,99,99,99,99,99,2,1,3
2,1,2,1,2,675.21,2,99,99,99,99,99,2,1,3
2,1,1,1,3,539.11,2,99,99,99,99,99,1,2,3
2,1,1,1,2,539.11,2,99,99,99,99,99,2,2,4
2,1,1,1,1,539.11,2,99,99,99,99,99,2,2,3
2,1,1,1,1,539.11,2,99,99,99,99,99,2,2,3
1,1,1,1,2,501.49,2,99,99,99,99,99,2,2,3
2,1,1,1,2,539.11,2,99,99,99,99,99,1,2,3
2,1,1,1,2,539.11,2,99,99,99,99,99,2,1,3
1,1,1,1,2,501.49,2,99,99,99,99,99,2,2,3
2,1,1,1,3,539.11,2,99,99,99,99,99,2,2,2
1,1,1,1,1,501.49,2,99,99,99,99,99,2,2,4
1,1,1,1,1,501.49,2,99,99,99,99,99,2,2,2
1,1,1,1,1,501.49,2,99,99,99,99,99,2,2,4
1,1,1,1,2,501.49,2,99,99,99,99,99,2,2,4
1,1,1,1,1,501.49,2,99,99,99,99,99,2,2,3
1,1,1,1,1,501.49,2,99,99,99,99,99,2,2,3
2,1,1,1,3,539.11,2,99,99,99,99,99,2,2,3
1,1,1,1,2,501.49,2,99,99,99,99,99,2,2,4
2,1,1,1,2,539.11,2,99,99,99,99,99,2,2,2
1,1,1,1,1,501.49,2,99,99,99,99,99,2,2,2
2,1,1,1,1,539.11,2,99,99,99,99,99,1,1,2
1,1,1,1,2,501.49,2,99,99,99,99,99,2,2,3
1,1,1,1,2,501.49,2,99,99,99,99,99,2,2,3
2,1,2,1,2,306.2,2,99,99,99,99,99,2,2,3
2,1,2,1,3,306.2,2,99,99,99,99,99,2,2,2
2,1,2,1,2,306.2,2,99,99,99,99,99,2,2,3
2,1,2,1,2,306.2,2,99,99,99,99,99,2,1,3
2,1,2,1,2,306.2,2,99,99,99,99,99,2,2,3
1,1,2,1,3,341.61,2,99,99,99,99,99,1,2,4
2,1,2,1,1,306.2,2,99,99,99,99,99,2,1,2
2,1,2,1,2,306.2,2,99,99,99,99,99,2,2,3
2,1,2,1,1,306.2,2,99,99,99,99,99,2,2,3
2,1,2,1,1,306.2,2,99,99,99,99,99,2,1,3
1,1,2,1,2,341.61,2,99,99,99,99,99,2,2,3
2,1,2,1,2,306.2,2,99,99,99,99,99,2,1,3
2,1,2,1,3,306.2,2,99,99,99,99,99,1,2,3
1,1,2,1,2,341.61,2,99,99,99,99,99,2,2,3
1,1,2,1,1,341.61,2,99,99,99,99,99,2,2,3
1,1,2,1,1,341.61,2,99,99,99,99,99,2,2,3
1,1,2,1,3,341.61,2,99,99,99,99,99,2,2,3
1,1,2,1,3,341.61,2,99,99,99,99,99,2,2,4
1,1,2,1,1,341.61,2,99,99,99,99,99,2,2,4
1,1,2,1,2,341.61,2,99,99,99,99,99,1,1,4
1,1,2,1,1,341.61,2,99,99,99,99,99,2,2,1
1,1,2,1,2,341.61,2,99,99,99,99,99,2,2,3
1,1,2,1,1,341.61,2,99,99,99,99,99,2,2,4
1,1,2,1,3,341.61,2,99,99,99,99,99,2,1,4
1,1,3,3,2,110.68,2,99,99,99,99,99,2,1,3
1,1,3,3,2,110.68,2,99,99,99,99,99,2,1,3
2,1,3,3,2,131.27,2,99,99,99,99,99,2,1,3
2,1,3,3,1,131.27,2,99,99,99,99,99,2,1,4
1,1,3,3,2,110.68,2,99,99,99,99,99,2,1,4
1,1,3,3,5,110.68,2,99,99,99,99,99,2,1,4
2,1,3,3,2,131.27,2,99,99,99,99,99,2,1,4
1,1,3,3,1,110.68,2,99,99,99,99,99,2,1,4
2,1,3,3,2,131.27,2,99,99,99,99,99,2,1,4
1,1,3,3,2,110.68,2,99,99,99,99,99,2,1,4
1,1,3,3,1,110.68,2,99,99,99,99,99,2,1,3
1,1,3,3,2,110.68,2,99,99,99,99,99,2,1,4
1,1,3,3,1,110.68,2,99,99,99,99,99,2,1,3
1,1,3,3,3,110.68,2,99,99,99,99,99,2,1,4
1,1,3,3,2,110.68,2,99,99,99,99,99,2,1,3
1,1,3,3,2,110.68,2,99,99,99,99,99,2,1,4
1,1,3,3,2,110.68,2,99,99,99,99,99,2,1,3
2,1,3,3,2,131.27,2,99,99,99,99,99,1,1,4
1,1,3,3,2,110.68,2,99,99,99,99,99,2,1,3
1,1,3,3,1,110.68,2,99,99,99,99,99,2,1,3
1,1,3,3,2,110.68,2,99,99,99,99,99,2,1,3
1,1,3,3,2,110.68,2,99,99,99,99,99,2,1,3
1,1,3,3,2,110.68,2,99,99,99,99,99,2,1,4
2,1,1,4,2,221.8,2,99,99,99,99,99,2,1,4
1,1,1,4,2,197.74,2,99,99,99,99,99,2,1,3
2,1,1,4,1,221.8,2,99,99,99,99,99,2,1,4
1,1,1,4,2,197.74,2,99,99,99,99,99,2,1,4
2,1,1,4,2,221.8,2,99,99,99,99,99,2,1,4
2,1,1,4,2,221.8,2,99,99,99,99,99,2,1,3
2,1,1,4,2,221.8,2,99,99,99,99,99,2,1,4
1,1,1,4,2,197.74,2,99,99,99,99,99,1,1,3
1,1,1,4,1,197.74,2,99,99,99,99,99,2,1,4
2,1,1,4,2,221.8,2,99,99,99,99,99,2,1,4
1,1,1,4,2,197.74,2,99,99,99,99,99,2,1,4
1,1,1,4,2,197.74,2,99,99,99,99,99,2,1,4
2,1,1,4,1,221.8,2,99,99,99,99,99,2,1,4
2,1,1,4,1,221.8,2,99,99,99,99,99,2,1,4
2,1,1,4,2,221.8,2,99,99,99,99,99,2,2,2
1,1,1,4,2,197.74,2,99,99,99,99,99,1,1,3
1,1,1,4,2,197.74,2,99,99,99,99,99,2,1,4
1,1,1,4,3,197.74,2,99,99,99,99,99,2,1,4
1,1,1,4,2,197.74,2,99,99,99,99,99,2,1,4
1,1,1,4,1,197.74,2,99,99,99,99,99,2,1,4
1,1,1,4,2,197.74,2,99,99,99,99,99,1,1,4
2,1,1,4,2,221.8,2,99,99,99,99,99,2,1,4
2,1,1,4,1,221.8,2,99,99,99,99,99,2,1,4
1,1,1,4,2,197.74,2,99,99,99,99,99,2,1,3
1,1,1,4,2,197.74,2,99,99,99,99,99,2,1,3
2,1,1,4,2,221.8,2,99,99,99,99,99,2,1,4
2,1,1,4,2,221.8,2,99,99,99,99,99,2,1,4
2,1,1,4,1,221.8,2,99,99,99,99,99,2,1,4
1,1,2,1,1,460.26,2,99,99,99,99,99,1,2,3
2,1,2,1,2,515.62,2,99,99,99,99,99,1,2,3
2,1,2,1,2,515.62,2,99,99,99,99,99,1,2,3
1,1,2,1,2,460.26,2,99,99,99,99,99,1,1,4
2,1,2,1,1,515.62,2,99,99,99,99,99,2,2,3
1,1,2,1,2,460.26,2,99,99,99,99,99,2,1,4
2,1,2,1,1,515.62,2,99,99,99,99,99,2,2,2
2,1,2,1,2,515.62,2,99,99,99,99,99,2,1,3
1,1,2,1,1,460.26,2,99,99,99,99,99,2,2,4
1,1,2,1,2,460.26,2,99,99,99,99,99,2,1,3
2,1,2,1,2,515.62,2,99,99,99,99,99,2,2,3
1,1,2,1,2,460.26,2,99,99,99,99,99,2,2,3
2,1,2,1,3,515.62,2,99,99,99,99,99,2,2,4
2,1,2,1,2,515.62,2,99,99,99,99,99,1,2,4
1,1,2,1,1,460.26,2,99,99,99,99,99,2,2,3
1,1,2,1,2,460.26,2,99,99,99,99,99,2,2,4
2,1,2,1,3,515.62,2,99,99,99,99,99,2,1,1
2,1,2,1,1,515.62,2,99,99,99,99,99,1,2,4
1,1,2,1,3,460.26,2,99,99,99,99,99,2,2,2
2,1,2,1,2,515.62,2,99,99,99,99,99,2,2,3
1,1,2,1,2,460.26,1,2,99,99,99,99,2,1,3
1,1,2,1,1,460.26,2,99,99,99,99,99,2,1,4
1,1,2,1,2,460.26,2,99,99,99,99,99,2,1,3
1,1,2,1,1,460.26,2,99,99,99,99,99,2,1,4
2,1,2,1,2,515.62,2,99,99,99,99,99,2,2,3
1,1,2,5,1,213.34,2,99,99,99,99,99,2,1,3
1,1,2,5,2,213.34,1,2,99,99,99,99,2,1,3
1,1,2,5,1,213.34,2,99,99,99,99,99,2,1,3
1,1,2,5,2,213.34,2,99,99,99,99,99,2,1,4
2,1,2,5,3,203.39,2,99,99,99,99,99,2,2,3
2,1,2,5,2,203.39,2,99,99,99,99,99,2,1,3
2,1,2,5,1,203.39,2,99,99,99,99,99,2,1,4
2,1,2,5,2,203.39,2,99,99,99,99,99,2,1,3
2,1,2,5,2,203.39,2,99,99,99,99,99,2,1,3
1,1,2,5,3,213.34,2,99,99,99,99,99,1,1,3
1,1,2,5,3,213.34,2,99,99,99,99,99,1,1,3
1,1,2,5,3,213.34,1,1,11,5,1,1,1,1,3
1,1,2,5,1,213.34,2,99,99,99,99,99,2,1,4
1,1,2,5,1,213.34,2,99,99,99,99,99,2,1,4
2,1,2,5,3,203.39,2,99,99,99,99,99,2,1,3
2,1,2,5,1,203.39,2,99,99,99,99,99,2,1,3
1,1,2,5,3,213.34,2,99,99,99,99,99,2,1,4
2,1,2,5,2,203.39,1,2,99,99,99,99,1,1,3
2,1,2,5,3,203.39,2,99,99,99,99,99,2,1,3
2,1,2,5,2,203.39,2,99,99,99,99,99,1,2,3
1,1,2,5,2,213.34,2,99,99,99,99,99,2,1,2
1,1,2,5,1,213.34,2,99,99,99,99,99,1,1,4
2,1,2,5,6,203.39,2,99,99,99,99,99,1,1,3
2,1,2,4,3,145.65,2,99,99,99,99,99,2,1,3
2,1,2,4,2,145.65,1,2,99,99,99,99,2,1,4
2,1,2,4,7,145.65,2,99,99,99,99,99,2,1,3
1,1,2,4,2,137.11,2,99,99,99,99,99,1,2,3
1,1,2,4,3,137.11,2,99,99,99,99,99,2,2,3
2,1,2,4,3,145.65,2,99,99,99,99,99,1,1,4
2,1,2,4,2,145.65,2,99,99,99,99,99,1,1,3
1,1,2,4,3,137.11,2,99,99,99,99,99,2,1,3
2,1,2,4,2,145.65,2,99,99,99,99,99,2,1,3
1,1,2,4,1,137.11,2,99,99,99,99,99,2,1,4
1,1,2,4,2,137.11,2,99,99,99,99,99,2,1,4
2,1,2,4,3,145.65,1,2,99,99,99,99,1,1,3
1,1,2,4,2,137.11,2,99,99,99,99,99,2,1,3
1,1,2,4,2,137.11,2,99,99,99,99,99,2,1,3
2,1,2,4,2,145.65,2,99,99,99,99,99,2,1,3
1,1,2,4,2,137.11,2,99,99,99,99,99,2,1,4
1,1,2,4,2,137.11,2,99,99,99,99,99,1,1,4
1,1,2,4,1,137.11,2,99,99,99,99,99,2,1,2
1,1,2,4,2,137.11,2,99,99,99,99,99,2,1,3
2,1,2,4,2,145.65,2,99,99,99,99,99,1,1,3
1,1,2,4,1,137.11,2,99,99,99,99,99,2,1,2
2,1,2,4,2,145.65,2,99,99,99,99,99,2,1,3
1,1,2,4,2,137.11,1,2,99,99,99,99,2,1,3
1,1,2,4,2,137.11,1,2,99,99,99,99,2,1,4
1,1,2,4,2,137.11,2,99,99,99,99,99,2,1,3
2,1,2,4,3,145.65,2,99,99,99,99,99,2,2,4
1,1,2,4,2,137.11,2,99,99,99,99,99,2,1,4
1,1,1,1,1,418.78,2,99,99,99,99,99,2,1,4
1,1,1,1,2,418.78,2,99,99,99,99,99,2,2,4
2,1,1,1,2,450.18,2,99,99,99,99,99,1,2,3
1,1,1,1,2,418.78,2,99,99,99,99,99,2,2,3
2,1,1,1,2,450.18,2,99,99,99,99,99,2,1,4
2,1,1,1,2,450.18,2,99,99,99,99,99,1,1,4
1,1,1,1,1,418.78,2,99,99,99,99,99,1,2,3
2,1,1,1,3,450.18,2,99,99,99,99,99,1,1,3
2,1,1,1,1,450.18,2,99,99,99,99,99,2,2,3
1,1,1,1,1,418.78,2,99,99,99,99,99,2,1,4
2,1,1,1,1,450.18,2,99,99,99,99,99,1,2,4
2,1,1,1,2,450.18,2,99,99,99,99,99,2,1,3
1,1,1,1,3,418.78,2,99,99,99,99,99,2,2,4
1,1,1,1,2,418.78,2,99,99,99,99,99,2,2,4
1,1,1,1,6,418.78,2,99,99,99,99,99,2,1,4
2,1,1,1,2,450.18,2,99,99,99,99,99,1,2,3
2,1,1,1,2,450.18,2,99,99,99,99,99,2,2,4
2,1,1,1,3,450.18,2,99,99,99,99,99,1,1,3
2,1,1,1,2,450.18,2,99,99,99,99,99,2,2,3
1,1,1,1,2,418.78,2,99,99,99,99,99,2,2,2
1,1,1,1,2,418.78,2,99,99,99,99,99,2,1,3
2,1,2,5,1,203.39,2,99,99,99,99,99,2,1,4
1,1,3,1,7,358.11,2,99,99,99,99,99,2,2,4
2,1,3,1,1,409.98,2,99,99,99,99,99,2,2,4
1,1,3,1,3,358.11,2,99,99,99,99,99,2,1,3
1,1,3,1,3,358.11,2,99,99,99,99,99,2,1,3
2,1,3,1,2,409.98,2,99,99,99,99,99,2,2,3
1,1,3,1,1,358.11,2,99,99,99,99,99,2,2,4
2,1,3,1,3,409.98,2,99,99,99,99,99,2,2,3
2,1,3,1,2,409.98,2,99,99,99,99,99,2,2,3
1,1,3,1,1,358.11,2,99,99,99,99,99,2,2,3
2,1,3,1,3,409.98,2,99,99,99,99,99,1,1,3
2,1,3,1,3,409.98,2,99,99,99,99,99,2,2,3
1,1,3,1,3,358.11,2,99,99,99,99,99,2,2,3
1,1,3,1,2,358.11,2,99,99,99,99,99,2,2,4
1,1,3,1,2,358.11,2,99,99,99,99,99,2,1,3
2,1,3,1,1,409.98,2,99,99,99,99,99,1,1,4
2,1,3,1,2,409.98,2,99,99,99,99,99,1,1,3
1,1,3,1,2,358.11,2,99,99,99,99,99,2,1,4
2,1,3,1,2,409.98,2,99,99,99,99,99,1,2,3
2,1,3,1,2,409.98,2,99,99,99,99,99,2,2,4
2,1,3,1,3,409.98,1,1,4,5,1,1,2,2,3
2,1,3,1,2,409.98,2,99,99,99,99,99,2,2,3
1,1,3,1,2,358.11,2,99,99,99,99,99,2,1,4
2,1,2,1,3,306.4,2,99,99,99,99,99,2,1,3
1,1,2,1,2,326.37,2,99,99,99,99,99,2,1,4
2,1,2,1,3,306.4,2,99,99,99,99,99,2,1,3
1,1,3,1,1,358.11,2,99,99,99,99,99,2,2,4
1,1,2,1,2,326.37,2,99,99,99,99,99,1,1,1
2,1,2,1,2,306.4,2,99,99,99,99,99,2,1,4
2,1,2,1,2,306.4,2,99,99,99,99,99,2,1,3
1,1,2,1,2,326.37,2,99,99,99,99,99,2,2,4
2,1,2,1,2,306.4,2,99,99,99,99,99,2,1,4
1,1,2,1,1,326.37,2,99,99,99,99,99,2,2,4
1,1,2,1,1,326.37,2,99,99,99,99,99,2,2,1
2,1,2,1,2,306.4,2,99,99,99,99,99,2,1,3
2,1,2,1,2,306.4,2,99,99,99,99,99,2,1,3
1,1,2,1,1,326.37,2,99,99,99,99,99,2,1,4
1,1,2,1,2,326.37,2,99,99,99,99,99,2,1,2
2,1,2,1,2,306.4,2,99,99,99,99,99,2,1,3
1,1,2,1,1,326.37,2,99,99,99,99,99,2,1,2
2,1,2,1,2,306.4,2,99,99,99,99,99,2,2,1
2,1,3,1,2,409.98,1,2,99,99,99,99,2,2,3
1,1,3,1,2,358.11,1,2,99,99,99,99,1,1,4
2,1,3,4,2,109.91,2,99,99,99,99,99,2,1,3
2,1,3,4,2,109.91,2,99,99,99,99,99,1,1,3
2,1,3,4,2,109.91,2,99,99,99,99,99,2,1,4
2,1,3,4,2,109.91,2,99,99,99,99,99,1,1,4
1,1,3,4,6,125.26,2,99,99,99,99,99,1,1,4
2,1,3,4,3,109.91,2,99,99,99,99,99,2,1,3
2,1,3,4,2,109.91,2,99,99,99,99,99,2,1,4
2,1,3,4,1,109.91,2,99,99,99,99,99,2,1,3
1,1,3,4,2,125.26,2,99,99,99,99,99,1,1,3
2,1,3,4,2,109.91,2,99,99,99,99,99,2,1,3
1,1,3,4,1,125.26,2,99,99,99,99,99,2,1,4
2,1,3,4,3,109.91,2,99,99,99,99,99,2,1,4
1,1,3,4,2,501.26,2,99,99,99,99,99,2,1,3
1,1,3,4,2,501.26,2,99,99,99,99,99,1,1,3
1,1,3,4,3,501.26,2,99,99,99,99,99,1,1,4
2,1,3,4,3,588.16,2,99,99,99,99,99,2,1,4
2,1,3,4,2,588.16,2,99,99,99,99,99,2,1,4
2,1,3,4,8,588.16,1,2,99,99,99,99,1,1,4
2,1,3,4,2,588.16,2,99,99,99,99,99,2,1,3
2,1,3,4,2,588.16,2,99,99,99,99,99,2,1,2
1,1,3,4,8,501.26,1,2,99,99,99,99,1,2,2
1,1,3,4,8,501.26,1,1,4,4,3,1,2,2,1
1,1,3,4,3,501.26,2,99,99,99,99,99,2,1,1
1,1,3,4,2,501.26,2,99,99,99,99,99,2,1,3
2,1,3,4,2,588.16,2,99,99,99,99,99,2,1,2
2,1,3,4,2,588.16,2,99,99,99,99,99,2,1,3
1,1,3,4,3,501.26,2,99,99,99,99,99,2,2,1
1,1,3,4,2,501.26,2,99,99,99,99,99,2,1,3
1,1,3,4,1,501.26,2,99,99,99,99,99,1,1,3
2,1,3,4,3,588.16,2,99,99,99,99,99,2,1,3
2,1,3,4,1,588.16,2,99,99,99,99,99,2,1,4
1,1,3,4,2,501.26,2,99,99,99,99,99,2,2,4
2,1,1,4,1,131.29,2,99,99,99,99,99,2,1,3
1,1,1,4,4,118.57,2,99,99,99,99,99,2,2,4
2,1,1,4,2,131.29,2,99,99,99,99,99,2,1,3
1,1,1,4,2,118.57,2,99,99,99,99,99,2,2,3
1,1,1,4,3,118.57,2,99,99,99,99,99,2,2,2
1,1,1,4,2,118.57,2,99,99,99,99,99,2,1,4
2,1,1,4,2,131.29,2,99,99,99,99,99,2,1,4
1,1,1,4,3,118.57,2,99,99,99,99,99,2,2,3
2,1,1,4,1,131.29,2,99,99,99,99,99,2,1,4
2,1,1,4,2,131.29,1,2,99,99,99,99,2,2,4
2,1,1,4,3,131.29,2,99,99,99,99,99,2,1,2
2,1,1,4,1,131.29,2,99,99,99,99,99,2,2,3
2,1,1,4,4,131.29,2,99,99,99,99,99,2,1,3
2,1,1,4,4,131.29,2,99,99,99,99,99,2,1,4
1,1,3,4,3,125.26,2,99,99,99,99,99,1,1,3
1,1,3,4,1,125.26,2,99,99,99,99,99,2,1,2
2,1,3,4,2,109.91,2,99,99,99,99,99,2,1,4
1,1,3,4,2,125.26,2,99,99,99,99,99,2,1,3
2,1,3,4,2,109.91,2,99,99,99,99,99,2,2,3
2,1,1,4,2,131.29,2,99,99,99,99,99,2,2,3
1,1,3,4,4,125.26,2,99,99,99,99,99,2,1,4
2,1,3,4,1,109.91,2,99,99,99,99,99,2,1,3
2,1,3,1,2,97.16,2,99,99,99,99,99,2,1,3
1,1,3,1,5,104.58,2,99,99,99,99,99,2,2,2
2,1,3,4,5,109.91,2,99,99,99,99,99,1,1,4
1,1,3,1,1,104.58,2,99,99,99,99,99,2,1,4
1,1,3,1,2,104.58,2,99,99,99,99,99,2,1,4
1,1,3,1,3,104.58,2,99,99,99,99,99,2,2,2
2,1,3,1,5,97.16,2,99,99,99,99,99,2,2,3
1,1,3,1,2,104.58,2,99,99,99,99,99,2,1,1
1,1,3,1,2,104.58,2,99,99,99,99,99,2,2,3
2,1,3,1,2,97.16,1,2,99,99,99,99,2,1,3
1,1,3,1,1,104.58,2,99,99,99,99,99,2,2,4
1,1,3,1,2,104.58,2,99,99,99,99,99,2,2,3
2,1,3,1,2,97.16,2,99,99,99,99,99,2,2,3
1,1,3,1,2,104.58,2,99,99,99,99,99,2,2,2
2,1,3,1,2,97.16,2,99,99,99,99,99,2,2,4
1,1,3,1,4,104.58,2,99,99,99,99,99,2,1,4
1,1,3,1,1,104.58,2,99,99,99,99,99,2,1,4
2,1,3,1,2,97.16,2,99,99,99,99,99,2,1,3
1,1,3,1,3,104.58,2,99,99,99,99,99,2,2,4
2,1,3,1,2,97.16,2,99,99,99,99,99,1,1,4
2,1,3,1,3,97.16,2,99,99,99,99,99,2,2,3
1,1,3,1,2,104.58,2,99,99,99,99,99,2,2,4
2,1,3,4,3,267.62,2,99,99,99,99,99,2,1,4
1,1,3,4,2,304.99,2,99,99,99,99,99,2,2,2
2,1,3,4,2,267.62,2,99,99,99,99,99,2,2,3
1,1,3,4,2,304.99,2,99,99,99,99,99,2,1,3
2,1,3,4,3,267.62,2,99,99,99,99,99,1,2,2
2,1,3,4,1,267.62,2,99,99,99,99,99,2,2,2
2,1,3,4,1,267.62,2,99,99,99,99,99,2,2,3
2,1,3,4,1,267.62,2,99,99,99,99,99,2,1,3
2,1,3,4,2,267.62,2,99,99,99,99,99,2,2,3
2,1,3,4,2,267.62,2,99,99,99,99,99,2,1,4
1,1,3,4,3,304.99,2,99,99,99,99,99,2,1,4
1,1,3,4,2,304.99,2,99,99,99,99,99,1,2,4
1,1,3,4,1,304.99,2,99,99,99,99,99,2,2,3
1,1,3,4,2,304.99,2,99,99,99,99,99,2,2,3
1,1,3,4,2,304.99,2,99,99,99,99,99,2,1,4
2,1,3,4,1,267.62,2,99,99,99,99,99,2,1,4
1,1,3,4,2,304.99,2,99,99,99,99,99,2,1,4
